column_one,column_two
"""$6N2531""",R1041
"""$6N2531""",C1202
"""$6N2532""",C1272
"""$6N2532""",R1042
"""$6N2532""",R1151
"""$6N2532""",C1292
"""$6N2534""",C1261
"""$6N2534""",R1141
"""$6N2534""",C1291
"""$6N2534""",R1032
"""$6N2536""",TP371
"""$6N2536""",R1212
"""$6N2536""",U17113
"""$6N2536""",C1201
"""$6N2539""",R1142
"""$6N2539""",U166
"""$6N2539""",R1322
"""$6N2540""",C1221
"""$6N2540""",U167
"""$6N2540""",R1321
"""$6N2541""",C1222
"""$6N2541""",TP441
"""$6N2541""",R1291
"""$6N2542""",C1531
"""$6N2542""",R1311
"""$6N2542""",R1292
"""$6N2546""",R1241
"""$6N2546""",TP431
"""$6N2546""",U165
"""$6N2546""",R1252
"""$6N2546""",R1152
"""$6N3299""",TP741
"""$6N3299""",U1756
"""$6N3300""",TP731
"""$6N3300""",U1754
"""$6N3301""",TP721
"""$6N3301""",U1751
"""$6N3302""",TP711
"""$6N3302""",U1752
"""$6N3450""",L161
"""$6N3450""",C1541
"""$6N3450""",C1651
"""$6N3450""",U1748
"""$6N3615""",C1551
"""$6N3615""",L171
"""$6N3615""",C1652
"""$6N3615""",U1750
"""$6N3659""",C1542
"""$6N3659""",L181
"""$6N3659""",C1661
"""$6N3668""",C1552
"""$6N3668""",C1681
"""$6N3668""",L192
"""$6N3707""",L202
"""$6N3707""",C1671
"""$6N3707""",C1561
"""$6N3707""",L182
"""$6N3707""",C1682
"""$6N3860""",C1831
"""$6N3860""",U1746
"""$6N3956""",C1841
"""$6N3956""",U1744
"""$6N3956""",TP471
"""$6N4247""",RN912
"""$6N4247""",U1721
"""$6N4266""",RN215
"""$6N4266""",U1722
"""$6N4285""",RN915
"""$6N4285""",U1723
"""$6N4304""",U1724
"""$6N4304""",RN210
"""$6N4323""",RN213
"""$6N4323""",U1725
"""$6N4342""",RN913
"""$6N4342""",U1726
"""$6N4361""",RN911
"""$6N4361""",U1727
"""$6N4380""",RN914
"""$6N4380""",U1728
"""$6N4399""",RN211
"""$6N4399""",U1729
